Date,Open,High,Low,Close,Volume,Adj Close
2017-12-13,33000,33000,32800,33000,169,33000
2017-12-12,33000,33250,32900,32950,389,32950
2017-12-11,32950,33050,32850,32850,435,32850
2017-12-08,32650,33250,32650,32950,246,32950
2017-12-07,33100,33150,32800,33050,728,33050
2017-12-06,33300,33800,33100,33150,485,33150
2017-12-05,33100,33250,33100,33250,210,33250
2017-12-04,33050,33200,33050,33100,364,33100
2017-12-01,33200,33600,33200,33200,172,33200
2017-11-30,33150,33550,33100,33250,137,33250
2017-11-29,33250,33900,33100,33450,444,33450
2017-11-28,34050,34050,33350,33350,256,33350
2017-11-27,34450,34450,33900,34050,1007,34050
2017-11-24,34250,34350,34150,34300,537,34300
2017-11-22,34350,34750,34350,34750,565,34750
2017-11-21,33600,34350,33550,34350,594,34350
2017-11-20,33700,33700,33450,33450,135,33450
2017-11-17,33800,33800,33400,33550,287,33550
2017-11-16,33150,33500,33150,33500,207,33500
2017-11-15,33900,33900,33450,33550,310,33550
2017-11-14,33600,33900,33600,33700,1089,33700
2017-11-13,33600,33700,33400,33600,397,33600
2017-11-10,33650,33650,33400,33600,536,33600
2017-11-09,33550,33800,33500,33650,393,33650
2017-11-08,33500,33900,33450,33650,406,33650
2017-11-07,33750,33900,33600,33750,231,33750
2017-11-06,33850,33950,33700,33750,438,33750
2017-11-02,34200,34200,33750,34050,283,34050
2017-11-01,34050,34150,34050,34050,179,34050
2017-10-31,33850,34100,33850,33950,157,33950
2017-10-30,34300,34300,33800,34200,441,34200
2017-10-27,34050,34200,33950,34200,182,34200
2017-10-26,33900,34200,33900,34200,223,34200
2017-10-25,33900,34100,33750,33950,209,33950
2017-10-24,34000,34150,33750,34050,370,34050
2017-10-23,34300,34400,34000,34100,286,34100
2017-10-20,34450,34450,34200,34200,264,34200
2017-10-19,34750,34800,34500,34500,305,34500
2017-10-18,34400,34700,34400,34500,247,34500
2017-10-17,34700,34750,34550,34550,156,34550
2017-10-16,34400,34650,34350,34650,423,34650
2017-10-13,34650,34650,34400,34650,214,34650
2017-10-12,34600,34600,34400,34550,321,34550
2017-10-11,34400,34600,34400,34550,122,34550
2017-10-10,34500,34750,34050,34400,540,34400
2017-10-06,34900,34950,34700,34950,679,34950
2017-10-05,34550,34850,34550,34700,178,34700
2017-10-04,34550,34800,34550,34650,368,34650
2017-10-03,34400,34500,34000,34300,506,34300
2017-10-02,34300,34350,34200,34350,152,34350
2017-09-29,34200,34400,34150,34300,67,34300
2017-09-28,34200,34250,34150,34250,150,34250
2017-09-27,34200,34300,34100,34300,54,34300
2017-09-26,34200,34300,34150,34200,190,34200
2017-09-25,34250,34450,34200,34350,368,34350
2017-09-22,34250,34450,34100,34100,614,34100
2017-09-21,34200,34450,34050,34400,521,34400
2017-09-20,33900,33900,33600,33900,463,33900
2017-09-19,33800,34050,33750,33950,393,33950
2017-09-15,33700,33850,33350,33450,856,33450
2017-09-14,34300,34300,33900,34150,352,34150
2017-09-13,34000,34200,34000,34200,192,34200
